No.	Nama	Kategori TripAdvisor	Relevan Nightlife	Jenis Venue	Kota Administrasi	Kecamatan	Alamat (kurasi)	Alamat (TripAdvisor)	Koordinat	Flag Koordinat	Telepon	Rating	Jumlah Ulasan	Status	Catatan	URL TripAdvisor
59	Golden Hands Spa	Clubs & Bars	Tidak		Jakarta Utara	Penjaringan	Jl. Bandengan Selatan No. 43, Komplek Puri Delta Mas Blok B-8, Jakarta Utara 14450	Jl. Bandenga Selatan Golden Hands Hotel, Jakarta, 14450	-6.2492,106.86629		+622166674670	5,0	1	Tidak diketahui	Ini spa/gym (bukan venue nightlife), meski kompleks resort disebut juga punya fasilitas KTV. Sumber: trackpacking.com, Tripadvisor.	https://www.tripadvisor.com/Attraction_Review-g294229-d12049469
60	Andri	Nightlife	Tidak		?	?	?	Jalan medang raya no 65 tangerang, Jakarta, 62						Tidak diketahui	"Nama entri hanya ""Andri"" — pola nama orang, bukan nama venue; tidak ada rating/ulasan yang mendukung keberadaan usaha."	https://www.tripadvisor.com/Attraction_Review-g294229-d26686214
61	Ebony88	Nightlife	Tidak		?	?	?	Jl. Rs. Fatmawati Raya No.38f, Rt.7/rw.5, Cipete Utara, Kec. Kby. Baru, Jakarta Selatan	-6.287423,106.79552		+62877-3532-0402			Tidak diketahui	"Pola nama ""88"" khas situs judi online/slot; tidak ditemukan jejak sebagai venue fisik di Jakarta pada pencarian web manapun — kemungkinan besar bukan usaha nyata."	https://www.tripadvisor.com/Attraction_Review-g294229-d27966646
62	Find Your Indonesia (FIYO)	Nightlife	Tidak					Jl. Banjarsari X No.4A, RT.8/RW.8, Cilandak Barat, Cilandak, South Jakarta, DKI Jakarta	-6.29006,106.79317		+62821-2222-3504			Tidak diketahui	Platform/operator tur wisata (city tour, budaya, dll), bukan venue hiburan malam (sumber: TripAdvisor & deskripsi FIYO).	https://www.tripadvisor.com/Attraction_Review-g294229-d17802476
63	Fujigacor88	Clubs & Bars	Tidak	 	 	 	 	RT.1/RW.3, Ancol, Pademangan, North Jakarta City	-6.121829,106.81636		+62878-4044-4613			Tidak diketahui	"Situs judi online slot (""gacor""), bukan venue fisik, sumber: fujigacor88.org dan domain sejenis."	https://www.tripadvisor.com/Attraction_Review-g294229-d26322140
64	Fujiwin88	Clubs & Bars	Tidak	 	 	 	 	Jl. Kapten Tendean No.8, RT.1, Kec. Mampang Prpt., Kota Jakarta Selatan	-6.240014,106.82384		+62895-3851-45145			Tidak diketahui	Situs judi online slot/kasino berbasis web, bukan venue fisik di Jakarta, sumber: fujiwin88.com dan domain sejenis.	https://www.tripadvisor.com/Attraction_Review-g294229-d26101135
65	GRITNIC - SNUS & Nicotine Pouches	Cigar Bars	Tidak	?	?	?	?	Greater jakarta, West Jakarta, Mediterania 2 Garden Residence Tower Heliconia, Floor 1	-6.177577,106.78817		+62813-7757-7758			Tidak diketahui	"Nama usaha eksplisit menyebut ""SNUS & Nicotine Pouches"" — toko ritel produk tembakau/nikotin, bukan cigar bar/venue hiburan malam meski dikategorikan ""Cigar Bars"" di TripAdvisor."	https://www.tripadvisor.com/Attraction_Review-g294229-d34191647
66	Jakarta Locals Guide	Nightlife	Tidak		?	?	?	Taman Fatahillah, Jakarta, 11110						Tidak diketahui	"Nama mengindikasikan jasa pemandu wisata lokal (""Locals Guide""), bukan venue fisik; tidak ditemukan jejak web independen untuk memastikan sifat usahanya."	https://www.tripadvisor.com/Attraction_Review-g294229-d26821677
67	LOTTE MART Wholesale Kelapa Gading	Nightlife	Tidak	?	Jakarta Utara	Kelapa Gading	?	Jl. Boulevard Barat Raya No. 18, RT.18/RW.8 Kelapa Gading Barat, Kecamatan Kelapa Gading	-6.15319,106.8942		+622145855111			Tidak diketahui	"Gerai LOTTE Grosir/LOTTE MART Wholesale (supermarket grosir milik grup ritel Korea Selatan Lotte), bukan venue hiburan malam — salah kategori di TripAdvisor ""Nightlife""."	https://www.tripadvisor.com/Attraction_Review-g294229-d34568622
68	Nu Skin Indonesia	Clubs & Bars	Tidak	 	Jakarta Selatan	Mampang Prapatan	City Plaza Lt.10 Suite 1001-1002, Jl. Jend. Gatot Subroto No.44, Kuningan Barat, Mampang Prapatan, Jakarta Selatan 12710	Area Gd. City Plaza 10th Floor , Suite 1001-1002, Jakarta, 12710	-6.235808,106.82328		+622130030010			Aktif	Sebenarnya kantor pemasaran MLM kosmetik/suplemen Nu Skin, bukan venue hiburan malam, sumber: nuskin.com, Waze.	https://www.tripadvisor.com/Attraction_Review-g294229-d23847858
69	Opatrip.com US LLC – Local Tours in Indonesia	Nightlife	Tidak					14 Gynėjų gatvė, Vilnius 01109, Vilniaus apskritis, LT, Jakarta, 09215		ALAMAT DI LUAR NEGERI (Vilnius, Lituania)	+37065216600			Tidak diketahui	Agen tur/aktivitas online berbasis AS (Delaware) yang menjual tur romantis dll di Jakarta/Bali, bukan venue fisik (sumber: opatrip.com, LinkedIn).	https://www.tripadvisor.com/Attraction_Review-g294229-d20995199
70	Panorama Sightseeing	Nightlife	Tidak	?	?	?	?	Jl. Tomang Raya No.63 6th 5 Floor, Jakarta, 11440			+62811-8000-1025			Tidak diketahui	"Operator wisata/travel agency (grup Panorama JTB / Panorama Sentrawisata / Panorama Group), bukan venue hiburan malam fisik — salah kategori di TripAdvisor ""Nightlife""."	https://www.tripadvisor.com/Attraction_Review-g294229-d34133580
71	Pool Bar DoubleTree	Clubs & Bars	Tidak		Jakarta Pusat	Menteng (dari alamat/kodepos)	Jl. Pegangsaan Timur No. 17, DoubleTree by Hilton Jakarta - Diponegoro, Jakarta 10310	Jl. Pegangsaan Timur no. 17 Doubletree by Hilton, Jakarta, 10310	-6.199388,106.842255					Aktif	Bar kolam renang hotel untuk siang hari (milkshake, es krim, camilan), bukan venue hiburan malam (sumber: situs Hilton/Jelajah Indonesia).	https://www.tripadvisor.com/Attraction_Review-g294229-d13172722
72	Romero Sinaga	Nightlife	Tidak					Jalan Diponegoro No. 45, Menteng, Jakarta, 10310						Tidak diketahui	Nama pemandu wisata privat (private tour guide) sejak 2013, bukan venue (sumber: tourhq.com, itap-world.com).	https://www.tripadvisor.com/Attraction_Review-g294229-d19921351
73	T Lounge	Clubs & Bars	Tidak		Jakarta Pusat	Menteng (dari alamat/kodepos)	Jl. Pegangsaan Timur/Barat No. 17, DoubleTree by Hilton Jakarta - Diponegoro, Jakarta 10350	Jl. Pegangsaan Timur no. 17 DoubleTree by Hilton Hotel, Jakarta, 10310	-6.199388,106.842255					Aktif	"Diduga lounge teh/kopi lobi hotel (konsep ""T Lounge""), tidak ada bukti operasi hiburan malam (sumber: TripAdvisor listing hotel)."	https://www.tripadvisor.com/Attraction_Review-g294229-d13172723
74	Traveluv	Nightlife	Tidak		?	?	?	Jl H No 19 Rt Rw 004 009 Kebon Baru Tebet Jakarta Selatan, Jakarta, 12830			+62821-2341-8957			Tidak diketahui	Nama mengindikasikan layanan travel/aplikasi kencan-travel, bukan venue fisik; tidak ditemukan jejak web independen sebagai usaha hiburan malam di Jakarta.	https://www.tripadvisor.com/Attraction_Review-g294229-d28650788
75	Triple A Tours & Travel	Nightlife	Tidak		?	?	?	Epicentrum Tengah 3, Jl HR Rasuna Said Karet Kuningan, Setiabudi Jakarta Selatan			+62812-9913-4442			Tidak diketahui	Sebenarnya operator tur/city tour di Jakarta (masuk daftar Jakarta City Tours TripAdvisor), bukan venue hiburan malam; belum ada ulasan (sumber: tripadvisor.com/Attraction_Review-g294229-d26609576).	https://www.tripadvisor.com/Attraction_Review-g294229-d26609576
76	silver tour jakarta	Nightlife	Tidak		?	?	?	Green Garden Blok p3 No 2, Jakarta, 11250			+62877-8062-0362			Tidak diketahui	"Nama eksplisit menunjukkan operator tur/travel (""tour""), bukan venue hiburan malam; tidak ditemukan jejak web independen sebagai agen tur aktif."	https://www.tripadvisor.com/Attraction_Review-g294229-d28049755
