No.	Nama Penyelenggara - Organizer	Nama Pertunjukan - Name of Performance	Tanggal Pertunjukan - Date of Performance	Tempat Pertunjukan - Place of Performance	Jenis Pertunjukan - Type of Performance	Jumlah Pengunjung - Number of Visitor	Keterangan - Notes	Sumber
92	Yayasan Sabang Merauke; musik oleh Jakarta Concert Orchestra (Avip Priatna)	Pagelaran Sabang Merauke 2025: The Indonesian Broadway — Hikayat Nusantara	2025-08-23	Indonesia Arena, GBK Senayan, Jakarta	Pertunjukan Budaya	~28.000	perkiraan; tiket ~92% terjual	https://lifestyle.bisnis.com/read/20250824/254/1905054/pagelaran-sabang-merauke-tampilkan-pertunjukan-kolosal-nan-megah
93		Ahn Hyo Seop Fanmeeting 'I Want to Say (Love, Jakarta)'	2025-08-23	Hall D2, JIExpo Kemayoran, Jakarta	Fan Meeting Hallyu (Aktor Korea)			https://exhibition.jiexpo.com/events/2025-ahn-hyo-seop-fanmeeting-i-want-to-say-love-jakarta/
94	Titimangsa & Bakti Budaya Djarum Foundation	Bunga Penutup Abad	2025-08-29	Ciputra Artpreneur, Jakarta	Teater / Drama Musikal			https://www.kompas.id/artikel/en-bunga-penutup-abad-kobarkan-perlawanan
95	New Live Entertainment	3553 Concert (Yuni Shara)	2025-08-30	Istora Senayan, Jakarta	Konser Musik Nasional (Pop)		Konser tunggal perdana	https://www.liputan6.com/showbiz/read/6148000/yuni-shara-sukses-gelar-konser-3553-di-istora-senayan-jakarta-diramaikan-nassar-hingga-ariel-noah
96	Forum Lenteng	ARKIPEL 2025 (ke-12) - 'Years of Living Dangerously'	2025-08-30 s/d 2025-09-14	Forum Lenteng & TMII, Jakarta	Festival Film (Dokumenter/Eksperimental)		80 film dari 26 negara; gratis	https://arkipel.org/
97	EKI Dance Company	Perempuan Punya Cerita (Musikal)	2025-09-04	Graha Bhakti Budaya, Taman Ismail Marzuki (TIM)	Teater / Drama Musikal			https://www.beritajakarta.id/potret-jakarta/album/18405/pertunjukan-musikal-perempuan-punya-cerita-di-graha-bhakti-budaya-tim
98	Museum Nasional Indonesia (Kementerian Kebudayaan)	Pembukaan Kembali & Pameran 'Sejarah Awal' (repatriasi fosil Java Man)	2025-09-04 s/d 2025-12-18	Museum Nasional Indonesia, Jakarta Pusat	Acara Budaya / Pameran Museum		Buka kembali 4 Sep; pameran 'Sejarah Awal' mulai 18 Des 2025	https://www.museumnasional.or.id/5375/
99	Boss Creator	Pestapora 2025	2025-09-05 s/d 2025-09-07	Gambir Expo & Hall D2, JIExpo Kemayoran, Jakarta	Festival Musik (Multi-genre)	~90.000-100.000	tiket terjual	https://hypeabis.id/read/41430/lebih-dari-90000-tiket-pestapora-selama-3-hari-sukses-terjual
100	PT Mega Bintang Investama	Konser Dewa 19 Featuring All Stars 2.0	2025-09-06	Stadion Utama Gelora Bung Karno (GBK), Senayan, Jakarta	Konser Musik Nasional (Rock/Pop)	60.000	perkiraan	https://soundcorners.com/sekitar-60-ribu-penonton-padati-konser-dewa-19-featuring-all-stars-2-0/
101	Plaza Indonesia	Plaza Indonesia Fashion Week (PIFW) 2025	2025-09-06 s/d 2025-09-14	The Warehouse, Plaza Indonesia, Jakarta Pusat	Fashion / Peragaan Busana		35 tahun PI; 35 fashion show + 3 kids + 1 special	https://daman.co.id/plaza-indonesia-fashion-week-2025-schedule
102	Kolam Ikan Creative Communication	Vina Panduwinata - The Untold Story Live in Concert	2025-09-12	Balai Sarbini, Jakarta	Konser Musik Nasional (Pop)			https://www.metrotvnews.com/play/K5nC7By5-vina-panduwinata-hibur-penggemar-lintas-generasi-lewat-the-untold-story-live-concert
103	Indonesian Contemporary Gamelan Ensemble / Salihara	Jakarta Contemporary Gamelan Festival 2025	2025-09-12 s/d 2025-09-13	Teater Salihara, Jakarta Selatan	Seni Tradisional / Gamelan		Edisi perdana; gamelan Jawa-Sunda-Bali & kontemporer	https://tiket.salihara.org/acara/jakarta-contemporary-gamelan-festival-2025-diversity-in-gamelan
104	JIPFest	Jakarta International Photo Festival (JIPFest) 2025 - 'Coexistence'	2025-09-12 s/d 2025-09-21	Galeri Emiria Soenassa & S. Sudjojono, Taman Ismail Marzuki, Jakarta	Seni Rupa / Festival Fotografi		300+ karya; 21 fotografer terpilih	https://jipfest.com/2025/05/call-for-submissions-photo-exhibition-at-jipfest-2025/
105		2025 B.I TOUR IN ASIA: The Last Parade Tour in Jakarta	2025-09-13	The Kasablanka Hall	Konser Musik Internasional (K-pop)			https://todaystage.com/articles/events/b-i-lights-up-jakarta-with-the-last-parade-tour-concert-at-kasablanka-hall/
106	JBL / PT Inti Megah Swara	JBL Festival 2025	2025-09-13	Istora Senayan, Jakarta	Festival Musik (Multi-genre)		Slank, Ari Lasso, Kotak, Tiara Andini	https://www.liputan6.com/showbiz/read/6154089/jbl-festival-2025-menyapa-istora-senayan-jakarta-13-september-ada-slank-hingga-ari-lasso
107	Ravel Entertainment	Muse: Live in Jakarta 2025	2025-09-19	Pantai Carnaval Ancol	Konser Musik Internasional (Rock)			https://www.muse.mu/tour-date/carnaval-ancol-jakarta-indonesia
108	Senayan City	Senayan City Fashion Nation XIX 2025	2025-09-19 s/d 2025-09-27	Main Atrium, Senayan City, Jakarta Selatan	Fashion / Peragaan Busana		Edisi ke-19; 3 maestro mode (Agus Lim, Rinaldy Yunardi, Tex Saverio)	https://lifestyle.kompas.com/read/2025/09/20/113500120/senayan-city-fashion-nation-ke-19-digelar-gandeng-3-maestro-fesyen
109	Prambors / Men's Biore	Awesome Skool Fest 2025	2025-09-20	Beach City International Stadium (BCIS) Ancol, Jakarta Utara	Festival Musik (Pop/Indie)		Hindia, .Feast, For Revenge, The Panturas	https://www.idntimes.com/hype/entertainment/harga-tiket-dan-line-up-awesome-skool-fest-2025-00-6x7yf-p8l2r8
110	Enjoy Live Experience & ImaginAction	Miliaran Cinta: Yovie Widianto - Andi Rianto Berkonser (Magenta Orchestra)	2025-09-21	Plenary Hall, Jakarta Convention Center (JCC) Senayan, Jakarta	Konser Orkestra Nasional		Tamu Kahitna, Isyana, Monita, dll	https://www.tempo.co/teroka/yovie-widianto-dan-andi-rianto-gelar-konser-21-september-2025-2063510
111	Rajawali Indonesia	Air Supply - Klakustik Live in Jakarta 2025 (Stage of Love)	2025-09-26	Tennis Indoor Senayan	Konser Musik Internasional (Soft Rock/Pop)	~5.200	kapasitas	https://www.kompas.id/artikel/en-udara-penuh-cinta-di-konser-air-supply
112		NCT DREAM THE DREAM SHOW 4: Dream The Future in Jakarta	2025-09-27	Jakarta International Stadium (JIS)	Konser Musik Internasional (K-pop)			https://mediaaku.com/konser-nct-dream-the-dream-show-4-siap-guncang-jakarta-27-28-september-2025/
113	Kiryu Entertainment	Jeff Satur 'Red Giant' Concert in Jakarta 2025	2025-09-27	Jakarta Concert Hall, Kebon Sirih, Jakarta Pusat	Konser Musik Internasional (T-pop/Thailand)			https://www.netralnews.com/jeff-satur-siap-guncang-jakarta-dengan-red-giant-concert-september-2025/TDY5QWNRVW9SU0ROVEZ6cFpkSTE3dz09
114	Erwin Gutawa Orchestra	Symphonesia: Bangga Indonesia	2025-09-27 s/d 2025-09-28	Ciputra Artpreneur, Jakarta	Orkestra / Musik Klasik		2 hari, 4 show; Once Mekel, Putri Ariani, dll	https://www.ciputraartpreneur.com/events/detail/erwin-gutawa-orchestra-symphonesia-bangga-indonesia
115	Ciputra Artpreneur (Disney Concerts; Bandung Philharmonic)	Disney's Beauty and the Beast in Concert	2025-09-27	Ciputra Artpreneur, Jakarta	Orkestra / Musik Klasik			https://hypeabis.id/read/52557/hari-terakhir-disneys-beauty-and-the-beast-in-concert-hadir-di-ciputra-artpreneur
116	Galeri Indonesia Kaya & Paguyuban Wayang Orang Bharata	Pandawa Nawasena (pagelaran Wayang Orang Bharata lintas generasi)	2025-09-27	Galeri Indonesia Kaya, Grand Indonesia, Jakarta Pusat	Seni Tradisional			https://www.biem.co/read/2025/09/28/110413/paguyuban-wayang-orang-bharata-sukses-pentaskan-lakon-pandawa-nawasena-sebuah-karya-seni-tradisi-lintas-generasi/
117	Jakarta World Cinema	Jakarta World Cinema (JWC) 2025	2025-09-27 s/d 2025-10-04	CGV Grand Indonesia, Jakarta Pusat	Festival Film		185 film dari 66 negara	https://variety.com/2025/film/news/joachim-trier-jafar-panahi-jakarta-world-cinema-festival-1236500770/
118		Romansa ke Masa Depan (Konser Hologram Tribute Glenn Fredly)	2025-09-30	Puri Agung Convention Hall, Grand Sahid Jaya, Jakarta	Konser Musik Nasional (Pop/Tribute)		Konser hologram tribute Glenn Fredly	https://urbanvibes.id/index.php/2025/08/19/9092-20-agustus-2025-entertainment-romansa-ke-masa-depan-konser-hologram-glenn-fredly-di-grand-sahid-jaya-jakarta/
119	Salihara Arts Center	Jakarta Performing Arts Festival (JPAF) 2025	Oktober 2025	Teater Salihara, Jakarta Selatan	Seni Pertunjukan / Festival		Festival teater, musik, tari (tanggal pasti belum dikonfirmasi)	https://hijkt.com/jadwal-acara-seni-jakarta-2025-jangan-lewatkan/
120	Svara Production	SvaTheFest 2025	2025-10-01 s/d 2025-10-04	Gedung Kesenian Jakarta, Jakarta Pusat	Teater / Drama Musikal		Festival teater & musikal lintas generasi	https://www.liputan6.com/showbiz/read/6176476/svathefest-2025-sukses-digelar-di-jakarta-wadah-pergelaran-teater-hingga-musikal-lintas-generasi
121	Ravel Entertainment	Foo Fighters: Live in Jakarta 2025	2025-10-02	Pantai Carnaval Ancol	Konser Musik Internasional (Rock)			https://foojkt.com/
122	CK Star Entertainment	The Smashing Pumpkins: Rock Invasion 2025 Tour in Jakarta	2025-10-03	JIExpo Kemayoran (Hall A2-A3)	Konser Musik Internasional (Alternative Rock)			https://thesmashingpumpkinsjkt.com/
123	Demajors (Synchronize Festival)	Synchronize Fest 2025	2025-10-03 s/d 2025-10-05	Gambir Expo Kemayoran, Jakarta	Festival Musik (Multi-genre)			https://www.kompas.com/hype/read/2025/10/03/083123166/synchronize-fest-2025-dimulai-hari-ini-ratusan-musisi-meriahkan-gambir-expo
124	Mandala Media / Art Jakarta	Art Jakarta 2025	2025-10-03 s/d 2025-10-05	JIExpo Kemayoran (Hall C1, C3, B3)	Seni Rupa / Art Fair	~35.000-40.000	target penyelenggara	https://eventguide.id/2025/09/12/art-jakarta-2025-di-jiexpo-persembahkan-karya-seni-koleksi-75-galeri-dari-16-negara-catat-tanggalnya/
125	Bank Indonesia & Indonesian Fashion Chamber	IN2MOTIONFEST 2025 / ISEF (Indonesia Int'l Modest Fashion Festival)	2025-10-08 s/d 2025-10-12	JIExpo Convention Centre & Theatre, Kemayoran, Jakarta	Fashion / Peragaan Busana (Modest)		241 desainer lokal + 11 internasional; 1.175 karya	https://lifestyle.kompas.com/read/2025/10/08/203500320/in2motionfest-2025-pamerkan-karya-ratusan-desainer-lokal-dan-internasional
126	Madani International Film Festival	Madani International Film Festival 2025 (ke-8) - 'Misykat'	2025-10-08 s/d 2025-10-12	Taman Ismail Marzuki & bioskop di Jakarta	Festival Film		95 film dari 24 negara	https://www.kompas.com/hype/read/2025/10/07/210312466/madani-international-film-festival-hadirkan-95-film-dari-24-negara
127		Konser Untuk Korban Sakit Hati Banget - Jakarta (Juicy Luicy & Adrian Khalif)	2025-10-11	Jakarta International Velodrome, Rawamangun, Jakarta Timur	Konser Musik Nasional (Pop)		Co-headline; tamu Maliq & D'Essentials	https://event.detik.com/898/konser-untuk-korban-sakit-hati-banget---jakarta
128	Galeri Indonesia Kaya / Bakti Budaya Djarum Foundation	Indonesia Menari 2025 (#MenariDiMall)	2025-10-12	Grand Indonesia (West Mall), Thamrin, Jakarta Pusat	Seni Tari	8.000+	peserta menari	https://www.tempo.co/foto/arsip/indonesia-menari-2025-di-grand-indonesia-2078882
129	Galeri Nasional Indonesia (Kementerian Kebudayaan)	Pameran NYALA: 200 Tahun Perang Diponegoro	s/d 2025-10-15	Galeri Nasional Indonesia, Jakarta Pusat	Seni Rupa / Pameran		Berlangsung sepanjang 2025, diperpanjang hingga 15 Okt 2025	https://girlsbeyond.com/2025/10/02/lifestyle/5-pameran-seni-oktober-2025-di-jakarta-salah-satunya-ada-art-jakarta
130	Dinas Kebudayaan DKI Jakarta	Festival Teater Jakarta (FTJ) 2025	2025-10-16	Gedung Kesenian Jakarta, Jakarta Pusat	Teater / Festival		Festival teater tahunan Dinas Kebudayaan DKI	https://www.facebook.com/disbuddki/posts/805436175526578/
131	Color Asia Live	2025 PLAVE Asia Tour [DASH: Quantum Leap] in Jakarta	2025-10-18	Beach City International Stadium (BCIS) Ancol, Jakarta Utara	Konser Musik Internasional (K-pop virtual)		Konser virtual group pertama di Indonesia	https://www.tempo.co/teroka/plave-akan-konser-di-jakarta-pada-18-oktober-2025-2062660
132	Cosplay Expo	Cosplay Expo 2025: Invasion of GBK	2025-10-18 s/d 2025-10-19	Stadion Utama Gelora Bung Karno (GBK), Senayan, Jakarta Pusat	Budaya Pop / Cosplay (anime, manga, game, J-Pop)		Pertama kali di Stadion Utama GBK	https://holopis.com/2025/10/19/ribuan-karakter-fantasi-penuhi-gbk-di-cosplay-expo-2025/
133	Mecimapro	Han So Hee Fan Meeting 'Xohee Loved Ones' in Jakarta	2025-10-18	The Kasablanka Hall, Jakarta	Fan Meeting Hallyu (Aktor Korea)		Fan meeting perdana di Indonesia	https://www.suara.com/entertainment/2025/10/19/101252/fan-meeting-perdana-di-jakarta-disambut-antusias-han-so-hee-menangis-haru-hingga-janji-coba-seblak
134	Dinas Kebudayaan & Dinas Pariwisata DKI Jakarta	Jakarta Film Week 2025 (tema 'REIGNITE')	2025-10-22 s/d 2025-10-26	CGV Grand Indonesia, CGV FX Sudirman, TIM, dll (Jakarta)	Festival Film			https://en.wikipedia.org/wiki/2025_Jakarta_Film_Week
135	Otello Asia	With Love From BRI Presents Babyface - Live in Jakarta 2025	2025-10-25	Beach City International Stadium (BCIS) Ancol	Konser Musik Internasional (Pop/R&B)			https://mediaaku.com/konser-babyface-live-in-jakarta-siap-menyemarakan-beach-city-international-stadium-ancol-25-oktober-2025/
136	Smartfren / XLSMART	Malam 100 Cinta 2025 (Erwin Gutawa Orchestra)	2025-10-25	JIExpo Convention Centre & Theatre, Kemayoran, Jakarta	Konser Orkestra Nasional	2.400	perkiraan; Erwin Gutawa Orchestra ft. Tulus, Yura Yunita, Lyodra, dll	https://selular.id/2025/10/smartfren-sukses-gelar-malam-100-cinta-2025-di-jiexpo-kemayoran/
137	Panorama Media / MNC	myBCA Indonesia Comic Con x INACON 2025	2025-10-25 s/d 2025-10-26	Jakarta International Convention Center (JICC), Senayan, Jakarta Pusat	Budaya Pop / Convention (comic, anime, game)		Edisi ke-10; target 30.000-35.000 pengunjung	https://www.inilah.com/festival-pop-culture-terbesar-mybca-icc-x-inacon-2025-siap-digelar-akhir-pekan-ini
138	Jakarta Fashion Week (Femina Group / APPMI)	Jakarta Fashion Week (edisi ke-18, 'The Legacy of Style')	2025-10-27 s/d 2025-11-02	Pondok Indah Mall 3, Jakarta Selatan	Fashion			https://jtdapperfashionweek.com/2025/10/30/jakarta-fashion-week-2026-entitled-the-legacy-of-style/
139	iMe Indonesia	BLACKPINK WORLD TOUR [DEADLINE] in Jakarta	2025-11-01	Gelora Bung Karno (GBK)	Konser Musik Internasional (K-pop)	~110.000-120.000	2 hari, estimasi	https://www.thejakartapost.com/culture/2025/11/03/blackpink-turns-gbk-into-pink-dome-for-two-day-deadline-gig
140	Sound Rhythm & Mataloka	HYDE [INSIDE] LIVE 2025 WORLD TOUR in Jakarta	2025-11-01	Tennis Indoor Senayan	Konser Musik Internasional (J-Rock)			https://koranindopos.com/jakarta-bersiap-menyambut-hyde-tennis-indoor-senayan-sabtu-1-november-2025/
141	Color Asia Live	Nancy Ajram Live in Jakarta 2025	2025-11-05	Istora Senayan	Konser Musik Internasional (Arab Pop)		Diva Lebanon; kolaborasi Ayu Ting Ting	https://www.tempo.co/teroka/nancy-ajram-siap-hibur-penggemar-di-istora-senayan-malam-ini-2086702
142	Kementerian Perdagangan RI & Indonesian Fashion Chamber	Jakarta Muslim Fashion Week (JMFW) — digelar Nov 2025	2025-11-06 s/d 2025-11-09	Kartika Expo, Balai Kartini, Jakarta Selatan	Fashion / Peragaan Busana (Modest)	8.000	target; branded 'JMFW 2026' tapi fisik Nov 2025; 200+ brand, 100+ desainer	https://getimedia.id/2025/11/06/jakarta-muslim-fashion-week-2026-siap-digelar-hadirkan-ratusan-jenama-modest-fashion/
143	Kementerian UMKM & Kementerian BUMN	KOPLING 2025 (Koplo Keliling) Jakarta	2025-11-08 s/d 2025-11-09	Gambir Expo Kemayoran, JIExpo, Jakarta	Festival Musik (Dangdut/Koplo)		Edisi perdana Jakarta; 30+ penampil; 192 tenant UMKM	https://exhibition.jiexpo.com/events/kopling-2025-koplo-keliling/
144	Twilite Orchestra / Twilite Chorus (Addie MS)	Twilite Chorus 30th Anniversary Concert	2025-11-08	Aula Simfonia Jakarta, Kemayoran	Orkestra / Musik Klasik			https://www.aulasimfoniajakarta.com/en/events/twilite-chorus-30th-anniversary-concert
145		Maher Zain & Harris J Indonesia Tour	2025-11-09	Istora Senayan	Konser Musik Internasional (Islamic Pop)		Pembuka tur Indonesia	https://www.detik.com/pop/music/d-8201140/maher-zain-dan-ikatan-kuat-dengan-industri-musik-indonesia
146	EKI Foundation & Indonesia Kaya	Festival Musikal Indonesia (FMI) 2025 — 12 komunitas musikal	2025-11-14	Teater Jakarta, Taman Ismail Marzuki (TIM)	Teater / Drama Musikal			https://adv.kompas.id/baca/festival-musikal-indonesia-2025-kembali-hadirkan-ruang-inklusif-untuk-karya-kolaborasi-dan-kebudayaan/
147	RedLine	Konser Suarasmara (Andien)	2025-11-15	Istora Senayan, Jakarta	Konser Musik Nasional (Pop/Jazz)	5.000	kapasitas; perayaan 25 tahun karier	https://www.kompas.com/hype/read/2025/11/15/102054266/andien-gelar-konser-tunggal-suarasmara-hari-ini-di-istora
148	Étoile Dance Center & Ballet Manila	Balet Cinderella	2025-11-15	Ciputra Artpreneur, Jakarta	Seni Tari			https://urbanvibes.id/index.php/2025/11/15/balet-cinderella-etoile-x-ballet-manila-siap-memukau-jakarta-di-ciputra-artpreneur/
149	Jakarta Concert Orchestra, Batavia Madrigal Singers (Avip Priatna)	Opera Carmen (Bizet)	2025-11-15	Ciputra Artpreneur, Jakarta	Opera			https://www.nowjakarta.co.id/upcoming-events/bizets-carmen-comes-jakarta/
150		Lee Chae Min Fan Meeting Tour 'Chaem-into YOU' in Jakarta	2025-11-15	Balai Sarbini, Jakarta	Fan Meeting Hallyu (Aktor Korea)		Fan meeting perdana di luar Korea Selatan	https://www.idntimes.com/korea/kdrama/fanmeet-lee-chae-min-digelar-di-balai-sarbini-jakarta-pada-november-00-hwff8-cwxfqx
151		Konser 10 Tahun Sinestesia - Efek Rumah Kaca (IMUST 2025)	2025-11-19	Teater Wahyu Sihombing, Taman Ismail Marzuki (TIM), Jakarta	Konser Musik Nasional (Indie/Alternatif)		sold out; 10 tahun album Sinestesia	https://milenianews.com/hiburan/musik/efek-rumah-kaca-buka-imust-2025-dengan-konser-10-tahun-sinestesia/
152	WeTV	WeTV Always More (Fan Meeting Zhou Yiran & Meng Ziyi)	2025-11-19	Fairmont Hotel Jakarta, Jakarta Pusat	Fan Meeting Asia (Aktor Tiongkok)		Bintang tamu Meng Ziyi	https://todaystage.com/articles/events/wetv-always-more-2026-zhou-yiran-meng-ziyi-arrive-in-jakarta-as-wetv-prepares-to-launch-new-genres/
153	Komite FFI / Badan Perfilman Indonesia	Malam Anugerah Festival Film Indonesia (FFI) 2025 — Piala Citra	2025-11-20	Teater Jakarta, Taman Ismail Marzuki (TIM), Jakarta Pusat	Festival Film / Penghargaan			https://en.wikipedia.org/wiki/2025_Indonesian_Film_Festival
154		the 1/9 tour by eaJ in Jakarta	2025-11-21	Basket Hall GBK, Senayan	Konser Musik Internasional (K-pop)		eaJ (Jae, eks DAY6)	https://www.kapanlagi.com/korea/eaj-rilis-single-put-it-on-me-siap-gelar-konser-di-basket-hall-gbk-bulan-november-d6b095.html
155		Tiara Andini - Edelweiss Showcase 2025	2025-11-21	Balai Sarbini, Jakarta	Konser Musik Nasional (Pop)		Showcase album 'Edelweiss'; presale sold out	https://seremonia.id/event/tiara-andini-siap-gelar-edelweiss-showcase-2025-di-balai-sarbini-jakarta/
156	MEG Entertainment	The Paper Kites Live in Jakarta 2025	2025-11-26	The Kasablanka Hall	Konser Musik Internasional (Indie/Folk Rock)			https://artatix.co.id/event/the_paper_kites_jakarta
157	MMEG Entertainment	BLUE Live in Jakarta 2025 (25th Anniversary Tour)	2025-11-27	The Kasablanka Hall	Konser Musik Internasional (Pop)			https://artatix.co.id/event/blue-live-jakarta
158	ALOKA	Rich Brian - WHERE IS MY HEAD? (Asia Tour, Jakarta)	2025-11-29	Beach City International Stadium (BCIS) Ancol, Jakarta Utara	Konser Musik Nasional (Hip-Hop/Rap)		Musisi diaspora (88rising); kota pembuka tur Asia	https://www.loket.com/event/rich-brian-where-is-my-head-asian-tour-2025_kTD4
159	86 Production	Tipe-X "Tiga Dekade Berdanska" (30th Anniversary)	2025-11-29	Gambir Expo, JIExpo Kemayoran, Jakarta	Konser Musik Nasional (Ska)		30 tahun Tipe-X; peluncuran album ke-8	https://www.liputan6.com/showbiz/read/6216882/tipe-x-gelar-konser-tiga-dekade-berdanska-rayakan-30-tahun-berkarier-dan-jadi-raksasa-musik-ska
160	Plainsong Live (Joyland Festival)	Joyland Sessions Jakarta 2025	2025-11-29 s/d 2025-11-30	GBK City Park (Senayan), Jakarta Pusat	Festival Musik (Indie/Multi-genre)			https://indonesiaexpat.id/events/joyland-sessions-2025/
161	Museum MACAN	Olafur Eliasson: 'Your curious journey'	2025-11-29 s/d 2026-04-12	Museum MACAN, Jakarta Barat	Seni Rupa / Pameran			https://www.museummacan.org/exhibition/your-curious-journey
162	MEG Entertainment	Secondhand Serenade - Awake 20 Year Anniversary	2025-12-06	Tennis Indoor Senayan	Konser Musik Internasional (Pop/Rock)			https://artatix.co.id/event/secondhand_serenade_awake_20_year_anniversary_jakarta
163	Erwin Gutawa Orchestra	Symphonesia: Viral 100% Musik Indonesia	2025-12-09	Graha Bhakti Budaya, Taman Ismail Marzuki (TIM)	Orkestra / Musik Klasik			https://eventfest.id/berita/symphonesia-2025-hadirkan-konser-viral-bersama-erwin-gutawa-orchestra/
164	Windah Basudara x WCG / Motion IME	WCG x Motion IME Festival 2025	2025-12-12 s/d 2025-12-14	Gambir Expo & Hall D2, JIExpo Kemayoran, Jakarta Pusat	Budaya Pop / Gaming & Creator Festival	90.000	gaming, K-Pop, cosplay; 3 hari	https://eventguide.id/2025/12/14/wcg-x-motion-ime-2025-leburkan-berbagai-elemen-budaya-pop-secara-asyik/
165	Titimangsa & PENASTRI	Festival Teater Indonesia 2025 "Sirkulasi Ilusi"	2025-12-14	Graha Bhakti Budaya, Taman Ismail Marzuki (TIM)	Teater / Drama Musikal			https://www.detik.com/pop/culture/d-8260710/festival-teater-indonesia-2025-berlabuh-ke-jakarta
166	Detik Network / Soundrenaline	Soundrenaline 2025 (Sana Sini Jakarta)	2025-12-18 s/d 2025-12-21	Multi-distrik DKI Jakarta (Istora SCBD, Taman Peruri, Blok M)	Festival Musik (Multi-genre)			https://www.detik.com/pop/music/d-8254584/jadwal-lengkap-soundrenaline-2025-3-hari-di-3-tempat-dan-line-up-nya
167		Pamungkas Live at Bengkel Space	2025-12-19	Bengkel Space, SCBD, Jakarta Selatan	Konser Musik Nasional (Pop/Indie)			https://www.shazam.com/event/becac73e-3465-408e-b4fd-335753cbfd5e
168	Signature Time	Barasuara - Tur Album Showcase Jalaran Sadrah (Penutup Jakarta)	2025-12-20	Bali United Studio, Kuningan, Jakarta Selatan	Konser Musik Nasional (Rock/Alternatif)		Penutup tur album Jalaran Sadrah	https://dapurletter.id/2025/12/22/barasuara-tutup-tur-album-showcase-jalaran-sadrah-dengan-konser-meriah-di-jakarta/
169	JakJazz (Jakarta International Jazz Festival)	JakJazz 2025 (edisi ke-15)	2025-12-20	Senayan Park (SPARK), Jakarta	Festival Musik (Jazz)	4.500	kapasitas; kembali setelah vakum 6 tahun	https://en.antaranews.com/amp/news/382152/jakjazz-festival-returns-dec-20-after-six-year-hiatus
170	EXPOINDO	Big Bang Festival 2025	2025-12-24 s/d 2026-01-04	JIExpo Kemayoran, Jakarta	Festival Musik & Bazar (Multi-genre)		Edisi ke-8; konser multi-artis + bazar	https://www.antaranews.com/berita/5323861/big-bang-festival-2025-kembali-digelar-di-jiexpo-kemayoran
