No.	Nama	Kategori TripAdvisor	Relevan Suvenir	Produk Utama	Alamat	Kota Administrasi	Kecamatan	Koordinat	Sumber Koordinat	Telepon	Rating	Jumlah Ulasan	Status	Catatan	URL TripAdvisor
51	Bike Station	Toko Suvenir & Spesialisasi	Tidak		Jalan Asia Afrika No 32 Stc LG 34, Jakarta, 10270	Jakarta Pusat	Tanah Abang	-6.22728,106.79836	TripAdvisor	+62 21 57931891	4,0	1	Tidak diketahui	"Toko sepeda di STC Senayan; berita 2025 menyebut mayoritas toko sepeda ""high-end"" di STC sudah tutup, status spesifik Bike Station tidak terkonfirmasi. Sumber Kompas/Detik Ags 2025."	https://www.tripadvisor.com/Attraction_Review-g294229-d18841189
52	Florist Sedapmalam Mas Agung	Toko Barang Antik	Tidak		Jl. Sulaiman No.56 Blok B Lapak Sedapmalam, Rw.3, Sukabumi Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Jakarta, 11540	Jakarta Barat	Kebon Jeruk	-6.206067,106.77821	TripAdvisor	+62 852-1046-4090	5,0	1	Aktif	Penjual bunga sedap malam (florist), bukan suvenir; alamat & nama sesuai listing TripAdvisor & referensi toko bunga Kebon Jeruk	https://www.tripadvisor.com/Attraction_Review-g294229-d32814483
53	Immanuel Bookstore	Toko Suvenir & Spesialisasi	Tidak		Jalan Proklamasi 76, Jakarta, 10320	Jakarta Pusat	Menteng	-6.20287,106.84893	TripAdvisor	+62 21 3900790	5,0	1	Aktif	Toko buku rohani Kristen, bukan suvenir wisata; sumber immanuelbookstore.co.id (masih beroperasi, cabang Proklamasi sejak 1992).	https://www.tripadvisor.com/Attraction_Review-g294229-d13817991
54	Nonna Store PIK	Toko Suvenir & Spesialisasi	Tidak		Outer Ring Road Pantai Indah Kapuk, Food Plaza building Block A No 35-37, Jakarta, 14470	Jakarta Utara	Penjaringan	-6.103562,106.74109	TripAdvisor	+62 857-1549-0196	5,0	1	Tidak diketahui	Toko kosmetik/aksesoris (Nonna Cosmetic, produk Taiwan), bukan suvenir khas; kecamatan Penjaringan dari lokasi PIK/kodepos 14470, koordinat sesuai area PIK; tidak ada info status terkini yang bisa diverifikasi	https://www.tripadvisor.com/Attraction_Review-g294229-d9727715
55	Pecenongan Night Market	Pasar Loak & Pasar Jalanan	Tidak		Jl. Pecenongan, Jakarta, 10120	Jakarta Pusat	Gambir	-6.16222,106.82695	TripAdvisor		5,0	1	Aktif	Kawasan wisata kuliner malam (jajanan/makanan), bukan toko suvenir. Sumber: travel.detik.com, Tripadvisor	https://www.tripadvisor.com/Attraction_Review-g294229-d19090223
56	Pojahome Indonesia	Toko Suvenir & Spesialisasi	Tidak		Jl. H. Daud I 35c, Rt.2/rw.3, Sukabumi Sel., Kec. Kb. Jeruk Kota Jakarta Barat, Daerah Khusus Ibukota , Jakarta, 11560	Jakarta Barat	Kebon Jeruk	-6.20643,106.7747	TripAdvisor	+62 851-3312-5638	5,0	1	Aktif	Jasa desain interior & custom furniture (bukan toko suvenir), workshop di Kebon Jeruk sesuai alamat (sumber: pojahome.co.id). Koordinat plausibel untuk area Kebon Jeruk/Sukabumi Selatan.	https://www.tripadvisor.com/Attraction_Review-g294229-d32764882
57	Big Boy Looks Good	Toko Suvenir & Spesialisasi	Tidak		Jl Prof Dr. Satrio Kav 18, Jakarta, 12940	Jakarta Selatan	Setiabudi	-6.216613,106.81918	TripAdvisor	+62 857-7993-3198			Aktif	Merek/toko pakaian pria plus-size Indonesia (didirikan 2009), bukan toko suvenir; Jl. Prof. Dr. Satrio kel. Karet Kuningan masuk kec. Setiabudi; koordinat sesuai area Kuningan	https://www.tripadvisor.com/Attraction_Review-g294229-d26585518
58	Home Decor Indonesia	Toko Suvenir & Spesialisasi	Tidak		Jalan Rs Fatmawati No. 5a,c,d 1, Rt.1/rw.6, Gandaria Utara, Kec. Kebayoran. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Jakarta, 12140	Jakarta Selatan	Kebayoran Baru	-6.259873,106.79643	TripAdvisor	+62 818-0604-0506			Aktif	Toko interior/furnitur (gorden, sofa, wallpaper) sejak 1992, bukan suvenir; alamat & jam buka dikonfirmasi di homedecorindonesia.com dan mylifegb.com	https://www.tripadvisor.com/Attraction_Review-g294229-d33404716
59	Jakartanotebook Benhil	Toko Suvenir & Spesialisasi	Tidak		Bendungan Hilir Raya Blok G1 No. 10 Jakarta Pusat Seberang Geprek Bensu Benhil, Jakarta, 10210	Jakarta Pusat	Tanah Abang	-6.211045,106.812355	TripAdvisor	+62 896-1352-2200			Aktif	Cabang toko elektronik/notebook (bukan suvenir), Bendungan Hilir masuk kec. Tanah Abang; buka sejak 2022, aktif di Instagram/TikTok; koordinat sesuai area Benhil	https://www.tripadvisor.com/Attraction_Review-g294229-d26270726
60	Kuponhosting	Toko Barang Antik	Tidak		Jakarta Pusat, Jakarta	Jakarta Pusat	?	-6.180511,106.828384	TripAdvisor	+62 881-0235-15545			Tidak diketahui	"Nama & kategori (Antique Stores) tidak konsisten dgn ""Kuponhosting"" yg berasosiasi dgn situs kupon hosting (kuponhosting.com, domain dijual di Flippa); diduga listing spam/tidak valid, tidak dapat diverifikasi sbg toko nyata. Kecamatan tidak dapat ditentukan (alamat hanya ""Jakarta Pusat"")"	https://www.tripadvisor.com/Attraction_Review-g294229-d23760495
61	Nagarey	Toko Suvenir & Spesialisasi	Tidak		Jl. Jalur 20 No.9, RT.4/RW.10 Meruya Utara, Jakarta, 11650	Jakarta Barat	Kembangan	-6.197569,106.72874	TripAdvisor	+62 822-1076-9566			Aktif	Toko furnitur & dekorasi rumah custom (rustic), bukan toko suvenir untuk wisatawan, di Meruya Utara, Kembangan (sumber: nagarey.com, topgoogle.com). Koordinat plausibel untuk area Meruya Utara.	https://www.tripadvisor.com/Attraction_Review-g294229-d32986329
62	Number 76 Jakarta	Toko Suvenir & Spesialisasi	Tidak		18 Parc Place Tower D, Ground Floor, Suite 2, Scbd, Jl. Jendral Sudirman Kav. 52-53, Rt.5/rw.3, Senayan, Kebayoran Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia, Jakarta, 12190	Jakarta Selatan	Kebayoran Baru	-6.2251,106.809	Koreksi riset	+62 21 51401776			Aktif	Salon rambut Jepang (Number76), bukan suvenir; alamat Parc Place SCBD, Senayan masuk kec. Kebayoran Baru; grand reopening Okt 2025 jadi masih aktif. Koordinat sumber (-6.21462,106.84513) bergeser ~4km ke timur dari lokasi SCBD/Senayan sebenarnya (sekitar -6.225,106.809); koreksi adalah perkiraan area SCBD, bukan titik persis gedung	https://www.tripadvisor.com/Attraction_Review-g294229-d27720986
63	Pelangi Bunga	Toko Suvenir & Spesialisasi	Tidak		Jl. Budi Raya No.4C Kemanggisan, Jakarta, 11480	Jakarta Barat	Palmerah	-6.19302,106.78226	TripAdvisor	+62 813-1759-8383			Aktif	Toko bunga (florist), bukan suvenir; sumber Facebook pelangibungaid.	https://www.tripadvisor.com/Attraction_Review-g294229-d20254097
64	Samsung Mhi Itc Fatmawati	Toko Suvenir & Spesialisasi	Tidak		Itc Fatmawati Lt. 1 No 49-51, RT.3/RW.5, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota , Jakarta, 12150	Jakarta Selatan	Kebayoran Baru	-6.2825,106.7995	Koreksi riset	+62 811-8818-124			Aktif	Samsung Service Center (pusat servis HP/elektronik), bukan toko suvenir, di ITC Fatmawati Lt.1, Cipete Utara, Kebayoran Baru (sumber: servicesamsung.id, idalamat.com). Koordinat asli (lng 106.621) meleset jauh ke barat (~20km) dari ITC Fatmawati; koreksi ke perkiraan lokasi ITC Fatmawati (belum diverifikasi presisi GPS).	https://www.tripadvisor.com/Attraction_Review-g294229-d33225533
65	Shishaholic	Toko Suvenir & Spesialisasi	Tidak		Jl. Raya Condet No.5, RT.1/RW.16, Cililitan, KEC, Jakarta, 13640	Jakarta Timur	Kramat Jati	-6.26571,106.86111	TripAdvisor	+62 812-9587-0909			Tidak diketahui	"Lounge/toko shisha (bukan suvenir); alamat Jl. Raya Condet, kel. Cililitan masuk kec. Kramat Jati (kodepos 13640), koordinat sesuai area tsb; sebuah blog lain menyebut ""Shishaholic"" berlokasi di selatan kota — kemungkinan beda tempat/tidak konsisten, status operasional tidak bisa dipastikan dari sumber yang ada"	https://www.tripadvisor.com/Attraction_Review-g294229-d27508964
66	Toko Board Game	Toko Suvenir & Spesialisasi	Tidak		Jl. Kerajinan I no. 35, Jakarta, 11130	Jakarta Barat	Tamansari	-6.152825,106.81452	TripAdvisor	+62 878-8732-8782			Aktif	Toko board game (TBG), bukan suvenir; alamat Jl. Kerajinan I No.35 Keagungan, Kec. Tamansari (bkppkutim.com); masih berjualan aktif di Tokopedia (tokopedia.com/tokoboardgame)	https://www.tripadvisor.com/Attraction_Review-g294229-d12918278
67	Toko Buku Pak Pay	Toko Suvenir & Spesialisasi	Tidak		Jl. Kramat Raya No.2 Rt.2/rw.7, Jakarta, 10420	Jakarta Pusat	Senen		Koordinat TripAdvisor salah, belum ada koreksi	+62 878-8385-8604			Tidak diketahui	Toko buku (bukan suvenir); alamat Jl. Kramat Raya No.2 masuk kel. Kwitang, kec. Senen (dari kodepos 10420); tidak ditemukan hasil pencarian spesifik untuk memverifikasi keberadaan usaha ini. Koordinat sumber (-6.2959,106.81137) meleset ~13km dari lokasi Kramat Raya yang sebenarnya (sekitar -6.182,106.843); koreksi persis tidak dapat dipastikan sehingga dikosongkan	https://www.tripadvisor.com/Attraction_Review-g294229-d26806658
